From;To;ID 5720 - PM1;ID 5720 - PM2.5;ID 5720 - PM10
09:00 30/06;10:00 30/06;12;16;31
10:00 30/06;11:00 30/06;11;15;29
11:00 30/06;12:00 30/06;10;14;26
12:00 30/06;13:00 30/06;9;12;21
13:00 30/06;14:00 30/06;9;12;21
14:00 30/06;15:00 30/06;8;10;18
15:00 30/06;16:00 30/06;8;9;16
16:00 30/06;17:00 30/06;7;9;16
17:00 30/06;18:00 30/06;8;9;17
18:00 30/06;19:00 30/06;8;9;17
19:00 30/06;20:00 30/06;9;11;19
20:00 30/06;21:00 30/06;9;11;20
21:00 30/06;22:00 30/06;10;12;21
22:00 30/06;23:00 30/06;11;14;26
23:00 30/06;00:00 01/07;11;14;26
00:00 01/07;01:00 01/07;11;14;26
01:00 01/07;02:00 01/07;10;13;24
02:00 01/07;03:00 01/07;10;12;22
03:00 01/07;04:00 01/07;10;13;23
04:00 01/07;05:00 01/07;11;14;25
05:00 01/07;06:00 01/07;12;16;31
06:00 01/07;07:00 01/07;12;16;31
07:00 01/07;08:00 01/07;13;17;33
08:00 01/07;09:00 01/07;12;16;31
09:00 01/07;10:00 01/07;12;16;32
10:00 01/07;11:00 01/07;11;15;29
11:00 01/07;12:00 01/07;10;13;24
12:00 01/07;13:00 01/07;10;12;22
13:00 01/07;14:00 01/07;9;11;20
14:00 01/07;15:00 01/07;9;11;20
15:00 01/07;16:00 01/07;9;10;18
16:00 01/07;17:00 01/07;9;11;19
17:00 01/07;18:00 01/07;8;10;17
18:00 01/07;19:00 01/07;7;8;15
19:00 01/07;20:00 01/07;8;9;16
20:00 01/07;21:00 01/07;8;9;17
21:00 01/07;22:00 01/07;9;11;20
22:00 01/07;23:00 01/07;8;10;18
23:00 01/07;00:00 02/07;10;14;25
00:00 02/07;01:00 02/07;11;14;25
01:00 02/07;02:00 02/07;10;13;23
02:00 02/07;03:00 02/07;10;12;22
03:00 02/07;04:00 02/07;10;12;21
04:00 02/07;05:00 02/07;11;13;24
05:00 02/07;06:00 02/07;11;14;25
06:00 02/07;07:00 02/07;11;14;26
07:00 02/07;08:00 02/07;11;16;29
08:00 02/07;09:00 02/07;13;17;34
09:00 02/07;10:00 02/07;13;18;36
10:00 02/07;11:00 02/07;12;17;33
11:00 02/07;12:00 02/07;11;15;30
12:00 02/07;13:00 02/07;11;15;29
13:00 02/07;14:00 02/07;11;14;27
14:00 02/07;15:00 02/07;10;13;24
15:00 02/07;16:00 02/07;10;13;25
16:00 02/07;17:00 02/07;10;13;24
17:00 02/07;18:00 02/07;10;13;23
18:00 02/07;19:00 02/07;10;13;24
19:00 02/07;20:00 02/07;10;13;24
20:00 02/07;21:00 02/07;10;13;24
21:00 02/07;22:00 02/07;11;14;27
22:00 02/07;23:00 02/07;11;15;27
23:00 02/07;00:00 03/07;11;15;28
00:00 03/07;01:00 03/07;11;14;26
01:00 03/07;02:00 03/07;11;14;26
02:00 03/07;03:00 03/07;11;14;27
03:00 03/07;04:00 03/07;11;16;30
04:00 03/07;05:00 03/07;11;15;29
05:00 03/07;06:00 03/07;11;15;28
06:00 03/07;07:00 03/07;10;14;26
07:00 03/07;08:00 03/07;11;15;29
08:00 03/07;09:00 03/07;11;15;29
09:00 03/07;10:00 03/07;10;13;24
10:00 03/07;11:00 03/07;9;11;21
11:00 03/07;12:00 03/07;9;12;22
12:00 03/07;13:00 03/07;9;12;23
13:00 03/07;14:00 03/07;9;12;22
14:00 03/07;15:00 03/07;9;12;21
15:00 03/07;16:00 03/07;8;11;20
16:00 03/07;17:00 03/07;8;10;18
17:00 03/07;18:00 03/07;8;10;18
18:00 03/07;19:00 03/07;8;10;18
19:00 03/07;20:00 03/07;8;9;17
20:00 03/07;21:00 03/07;7;9;16
21:00 03/07;22:00 03/07;8;10;18
22:00 03/07;23:00 03/07;9;12;22
23:00 03/07;00:00 04/07;10;13;24
00:00 04/07;01:00 04/07;11;15;28
01:00 04/07;02:00 04/07;11;14;26
02:00 04/07;03:00 04/07;11;14;26
03:00 04/07;04:00 04/07;11;15;27
04:00 04/07;05:00 04/07;6;7;13
05:00 04/07;06:00 04/07;6;8;14
06:00 04/07;07:00 04/07;7;9;16
07:00 04/07;08:00 04/07;9;11;19
08:00 04/07;09:00 04/07;8;11;21
09:00 04/07;10:00 04/07;7;9;18
10:00 04/07;11:00 04/07;5;7;13
11:00 04/07;12:00 04/07;6;8;15
12:00 04/07;13:00 04/07;8;10;17
13:00 04/07;14:00 04/07;7;9;17
14:00 04/07;15:00 04/07;8;10;19
15:00 04/07;16:00 04/07;8;10;18
16:00 04/07;17:00 04/07;7;9;16
17:00 04/07;18:00 04/07;8;10;18
18:00 04/07;19:00 04/07;8;9;17
19:00 04/07;20:00 04/07;8;10;18
20:00 04/07;21:00 04/07;9;10;19
21:00 04/07;22:00 04/07;9;11;20
22:00 04/07;23:00 04/07;9;11;21
23:00 04/07;00:00 05/07;9;11;20
00:00 05/07;01:00 05/07;7;8;15
01:00 05/07;02:00 05/07;6;8;15
02:00 05/07;03:00 05/07;7;8;15
03:00 05/07;04:00 05/07;5;7;12
04:00 05/07;05:00 05/07;5;6;11
05:00 05/07;06:00 05/07;5;6;11
06:00 05/07;07:00 05/07;7;9;16
07:00 05/07;08:00 05/07;8;10;17
08:00 05/07;09:00 05/07;7;8;15
09:00 05/07;10:00 05/07;6;7;13
10:00 05/07;11:00 05/07;6;7;13
11:00 05/07;12:00 05/07;5;7;12
12:00 05/07;13:00 05/07;5;6;11
13:00 05/07;14:00 05/07;5;6;11
14:00 05/07;15:00 05/07;5;6;10
15:00 05/07;16:00 05/07;5;6;11
16:00 05/07;17:00 05/07;6;7;12
17:00 05/07;18:00 05/07;6;7;12
18:00 05/07;19:00 05/07;6;7;13
19:00 05/07;20:00 05/07;7;8;15
20:00 05/07;21:00 05/07;7;8;15
21:00 05/07;22:00 05/07;7;8;15
22:00 05/07;23:00 05/07;8;10;18
23:00 05/07;00:00 06/07;8;10;18
00:00 06/07;01:00 06/07;8;10;18
01:00 06/07;02:00 06/07;6;8;15
02:00 06/07;03:00 06/07;7;9;17
03:00 06/07;04:00 06/07;4;6;11
04:00 06/07;05:00 06/07;6;8;14
05:00 06/07;06:00 06/07;7;9;16
06:00 06/07;07:00 06/07;7;9;17
07:00 06/07;08:00 06/07;7;9;16
08:00 06/07;09:00 06/07;7;9;16
09:00 06/07;10:00 06/07;6;8;16
10:00 06/07;11:00 06/07;6;8;14
11:00 06/07;12:00 06/07;5;7;12
12:00 06/07;13:00 06/07;7;9;17
13:00 06/07;14:00 06/07;8;10;18
14:00 06/07;15:00 06/07;5;7;13
15:00 06/07;16:00 06/07;4;5;10
16:00 06/07;17:00 06/07;5;6;11
17:00 06/07;18:00 06/07;4;6;11
18:00 06/07;19:00 06/07;5;6;11
19:00 06/07;20:00 06/07;6;8;14
20:00 06/07;21:00 06/07;7;9;17
21:00 06/07;22:00 06/07;8;10;19
22:00 06/07;23:00 06/07;9;12;22
23:00 06/07;00:00 07/07;11;14;27
00:00 07/07;01:00 07/07;10;13;24
01:00 07/07;02:00 07/07;8;10;19
02:00 07/07;03:00 07/07;9;11;19
03:00 07/07;04:00 07/07;7;9;16
04:00 07/07;05:00 07/07;8;9;16
05:00 07/07;06:00 07/07;8;9;17
06:00 07/07;07:00 07/07;6;8;14
07:00 07/07;08:00 07/07;5;6;12
08:00 07/07;09:00 07/07;4;5;9
09:00 07/07;10:00 07/07;4;5;9
10:00 07/07;11:00 07/07;4;4;8
11:00 07/07;12:00 07/07;3;4;8
12:00 07/07;13:00 07/07;3;4;7
13:00 07/07;14:00 07/07;3;4;7
14:00 07/07;15:00 07/07;3;4;7
15:00 07/07;16:00 07/07;3;4;7
16:00 07/07;17:00 07/07;3;4;6
17:00 07/07;18:00 07/07;3;3;6
18:00 07/07;19:00 07/07;3;4;7
19:00 07/07;20:00 07/07;4;4;8
20:00 07/07;21:00 07/07;4;5;9
