,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ppb,no2_ppb,no2pluso3_ppb,co_μg/m3
2022-06-15 08:00:00,227.0,223.0,231.0,236.0,28.824717,40.531902,1013.65625,30.0,18.0,8.0,305.0,-7.650191093743302,37.67123287671233,28.131575557177822,345.3910193946872
2022-06-15 09:00:00,226.0,222.5,230.0,236.0,29.996667000000002,37.375811999999996,1013.6930199999999,33.5,21.0,9.0,396.0,2.038691115214494,34.58904109589041,39.685232103748874,446.4280644436591
2022-06-15 10:00:00,226.0,226.0,229.0,243.0,30.312778,35.46186,1013.8074,39.0,24.0,11.0,414.0,9.168205436509636,41.78082191780822,52.39833383432816,467.7904119522932
2022-06-15 11:00:00,225.5,224.0,228.0,242.0,30.192496499999997,35.101862,1013.52922,40.5,25.0,11.0,399.0,22.09387211749044,39.041095890410965,63.38515051316185,449.04783124365065
2022-06-15 12:00:00,225.0,226.0,229.0,244.0,30.169447,35.661106,1013.0139,42.0,26.0,11.0,432.0,26.796066474857223,38.35616438356164,65.0749345128183,486.14789899437136
2022-06-15 13:00:00,225.0,229.0,228.5,249.0,29.866663000000003,38.411472,1012.6681550000001,37.5,23.0,10.0,474.5,5.032850946880222,65.06849315068493,68.72503972173317,534.4462613095095
2022-06-15 14:00:00,225.0,228.0,229.0,248.0,30.139444,37.38965,1012.1532,35.0,22.0,9.0,430.0,14.503800403658682,51.369863013698634,65.89084038304634,483.1894551860733
2022-06-15 15:00:00,225.0,228.0,229.0,247.0,29.7986085,39.887626499999996,1011.9581000000001,39.0,24.0,10.5,437.0,-6.328638296045007,61.64383561643836,57.68239790441018,491.9861888417598
2022-06-15 16:00:00,224.0,227.0,228.0,247.0,29.311943,41.74265,1011.6214,43.0,26.0,11.0,412.0,0.9726456821402513,61.64383561643836,59.191823764332035,464.1080198416324
2022-06-15 17:00:00,225.0,231.0,229.0,249.0,29.122779,44.711684,1011.9212299999999,46.5,29.0,12.0,470.5,-8.91377163224117,71.91780821917808,63.2262635805385,531.3338995814343
2022-06-15 18:00:00,225.0,234.0,230.0,250.0,27.246117,54.90815,1012.2805,46.0,28.0,12.0,459.0,-18.800188946622594,82.19178082191782,60.256795637050715,520.475994744029
2022-06-15 19:00:00,226.0,235.0,231.0,249.5,26.300555,62.519789,1012.84535,56.0,34.0,14.0,484.5,-31.96633314724955,82.19178082191782,50.22544767466827,551.6085402468659
2022-06-15 20:00:00,227.0,238.0,232.0,244.0,25.67472,67.22084,1013.2501,65.0,40.0,17.0,792.0,-66.05616867780309,89.04109589041096,24.734830592175896,905.0818496371182
