,co_μg/m3 (Kastom),NO2_ppb (Kastom)
2022-07-01 16:00:00,504.3705735460945,52.73972602739727
2022-07-01 17:00:00,382.3243314671077,25.342465753424666
2022-07-01 18:00:00,392.3466345424331,21.917808219178085
2022-07-01 19:00:00,515.0906434810669,47.26027397260275
2022-07-01 20:00:00,589.6486340832067,85.6164383561644
2022-07-01 21:00:00,539.0883079807684,61.64383561643836
2022-07-01 22:00:00,772.5218280771887,68.4931506849315
2022-07-01 23:00:00,648.1359763275366,61.64383561643836
2022-07-02 00:00:00,535.7805061078868,54.79452054794521
2022-07-02 01:00:00,428.6268906386664,56.50684931506849
2022-07-02 02:00:00,485.8823377459256,61.64383561643836
2022-07-02 03:00:00,472.5432909818754,65.06849315068493
2022-07-02 04:00:00,571.0880892985837,63.35616438356165
2022-07-02 05:00:00,609.1789064254422,58.21917808219179
2022-07-02 06:00:00,544.3370781214717,53.08219178082192
2022-07-02 07:00:00,485.2683888104351,46.23287671232877
2022-07-02 08:00:00,377.9992029554055,20.890410958904116
2022-07-02 09:00:00,441.5661063521733,40.753424657534254
2022-07-02 10:00:00,364.5439647054851,38.35616438356164
2022-07-02 11:00:00,357.5212244860853,30.136986301369863
2022-07-02 12:00:00,444.71941733798326,34.93150684931507
2022-07-02 13:00:00,289.34036102015386,17.80821917808219
2022-07-02 14:00:00,367.55307813467925,22.6027397260274
2022-07-02 15:00:00,426.0768223203913,28.08219178082192
2022-07-02 16:00:00,401.6485422319911,30.136986301369863
2022-07-02 17:00:00,516.9729934733641,52.05479452054794
2022-07-02 18:00:00,471.62548815813153,52.73972602739727
2022-07-02 19:00:00,434.1741354542396,42.465753424657535
2022-07-02 20:00:00,460.4140735874775,44.52054794520548
2022-07-02 21:00:00,488.277459997951,37.67123287671233
2022-07-02 22:00:00,514.5029048572725,58.21917808219178
2022-07-02 23:00:00,378.324116596,51.36986301369864
2022-07-03 00:00:00,397.2742849137446,44.52054794520548
2022-07-03 01:00:00,489.85739928188445,70.20547945205479
2022-07-03 02:00:00,392.4563327431472,58.21917808219178
2022-07-03 03:00:00,388.3124409483689,65.06849315068493
2022-07-03 04:00:00,356.5684288495634,61.64383561643836
2022-07-03 05:00:00,349.4228733796409,56.50684931506849
2022-07-03 06:00:00,302.38711995119536,44.52054794520548
2022-07-03 07:00:00,238.486032214123,34.24657534246575
2022-07-03 08:00:00,228.82618024038615,34.24657534246575
2022-07-03 09:00:00,214.7045075923468,34.93150684931507
2022-07-03 10:00:00,269.4664938241284,27.3972602739726
2022-07-03 11:00:00,224.34739837835733,26.02739726027397
2022-07-03 12:00:00,326.01387715782283,40.75342465753425
2022-07-03 13:00:00,285.9934098628267,21.917808219178085
2022-07-03 14:00:00,283.65370865694564,33.21917808219178
2022-07-03 15:00:00,251.24181323066887,30.82191780821918
2022-07-03 16:00:00,292.33807818909526,30.136986301369863
2022-07-03 17:00:00,300.20266795262086,26.71232876712329
2022-07-03 18:00:00,278.38395227308365,24.657534246575345
2022-07-03 19:00:00,410.628447539222,41.78082191780822
2022-07-03 20:00:00,526.6476453711219,54.10958904109589
2022-07-03 21:00:00,583.5192366605188,62.67123287671234
2022-07-03 22:00:00,751.1045507695446,75.34246575342466
2022-07-03 23:00:00,518.976364442286,61.64383561643836
2022-07-04 00:00:00,417.9888681340494,58.21917808219178
2022-07-04 01:00:00,407.8567389120951,51.36986301369864
2022-07-04 02:00:00,205.0806005963476,32.534246575342465
2022-07-04 03:00:00,266.0921719603173,47.945205479452056
2022-07-04 04:00:00,401.145047144257,66.78082191780823
2022-07-04 05:00:00,527.951679283629,71.91780821917808
2022-07-04 06:00:00,467.5943275084553,65.06849315068493
2022-07-04 07:00:00,391.927407747192,58.21917808219178
2022-07-04 08:00:00,398.9329178807008,54.79452054794521
2022-07-04 09:00:00,358.6213122441827,43.15068493150685
2022-07-04 10:00:00,298.4953034324169,44.52054794520548
2022-07-04 11:00:00,391.3268423918937,58.9041095890411
2022-07-04 12:00:00,305.87517337298925,43.83561643835617
2022-07-04 13:00:00,475.0545641706896,35.61643835616439
2022-07-04 14:00:00,359.4058275604715,40.753424657534254
2022-07-04 15:00:00,393.3073492777565,27.39726027397261
2022-07-04 16:00:00,311.88270441331224,35.61643835616439
2022-07-04 17:00:00,336.805289398777,36.3013698630137
2022-07-04 18:00:00,373.6234902643276,36.98630136986302
2022-07-04 19:00:00,443.0114235427186,45.54794520547946
2022-07-04 20:00:00,512.7953256802682,68.4931506849315
2022-07-04 21:00:00,460.385460135233,61.64383561643836
2022-07-04 22:00:00,439.53440317878506,78.76712328767124
2022-07-04 23:00:00,465.999079106268,68.4931506849315
2022-07-05 00:00:00,404.39971406178734,56.50684931506849
2022-07-05 01:00:00,246.3816983027659,34.24657534246575
2022-07-05 02:00:00,207.72035959228245,34.24657534246575
2022-07-05 03:00:00,335.52023288100435,58.21917808219178
2022-07-05 04:00:00,655.4551025119636,78.76712328767124
2022-07-05 05:00:00,812.5653653816772,70.20547945205479
2022-07-05 06:00:00,370.6602048025572,61.64383561643836
2022-07-05 07:00:00,382.6185143168505,51.36986301369864
2022-07-05 08:00:00,344.7773127177071,54.79452054794521
2022-07-05 09:00:00,365.9391945292717,56.50684931506849
2022-07-05 10:00:00,301.7729425576946,41.78082191780823
2022-07-05 11:00:00,330.9851113166018,36.98630136986302
2022-07-05 12:00:00,220.9295741435759,34.93150684931507
2022-07-05 13:00:00,329.49890750130066,34.24657534246575
2022-07-05 14:00:00,309.1611256849728,32.19178082191781
2022-07-05 15:00:00,360.25919354221406,27.39726027397261
2022-07-05 16:00:00,363.88349004836897,41.09589041095891
2022-07-05 17:00:00,312.23509422666945,31.506849315068493
2022-07-05 18:00:00,422.21629277797126,31.849315068493155
2022-07-05 19:00:00,457.2033019672391,38.69863013698631
2022-07-05 20:00:00,582.4882542220814,70.20547945205479
2022-07-05 21:00:00,502.8334579831383,65.06849315068493
2022-07-05 22:00:00,389.13201614063,54.79452054794521
2022-07-05 23:00:00,311.286444750583,47.945205479452056
2022-07-06 00:00:00,297.48967677542413,51.36986301369864
2022-07-06 01:00:00,342.1865229882102,65.06849315068493
2022-07-06 02:00:00,273.20055274447606,58.21917808219178
2022-07-06 03:00:00,259.0255989842576,54.79452054794521
2022-07-06 04:00:00,320.26809967115935,58.21917808219178
2022-07-06 05:00:00,342.32401338885643,58.21917808219178
2022-07-06 06:00:00,299.20634679690653,51.36986301369864
2022-07-06 07:00:00,230.67174747476815,29.45205479452055
2022-07-06 08:00:00,236.4399850165092,19.17808219178082
2022-07-06 09:00:00,133.01987780660863,16.438356164383563
2022-07-06 10:00:00,206.5982907608194,19.86301369863014
2022-07-06 11:00:00,108.87406482219858,7.534246575342467
2022-07-06 12:00:00,230.7411877414248,2.054794520547945
2022-07-06 13:00:00,229.6962040646688,1.3698630136986314
2022-07-06 14:00:00,199.65702616699127,7.534246575342467
2022-07-06 15:00:00,194.8462875365616,2.739726027397263
2022-07-06 16:00:00,261.6252532484324,11.643835616438356
2022-07-06 17:00:00,695.8173081802009,89.72602739726028
2022-07-06 18:00:00,636.0614511035714,78.08219178082193
2022-07-06 19:00:00,547.1686010425565,71.91780821917808
2022-07-06 20:00:00,449.4625767037928,68.4931506849315
2022-07-06 21:00:00,525.7706483319328,68.4931506849315
2022-07-06 22:00:00,561.8566955581622,73.63013698630138
2022-07-06 23:00:00,117.090173355876,17.123287671232877
2022-07-07 00:00:00,178.49926690316693,34.24657534246575
2022-07-07 01:00:00,222.96823019925583,47.945205479452056
2022-07-07 02:00:00,242.86267031786767,51.36986301369864
2022-07-07 03:00:00,259.901509309138,58.21917808219178
2022-07-07 04:00:00,280.7488111859381,58.21917808219178
2022-07-07 05:00:00,283.1440515346585,54.79452054794521
2022-07-07 06:00:00,270.5519501738047,51.36986301369864
2022-07-07 07:00:00,196.1047551645454,34.24657534246575
2022-07-07 08:00:00,194.5031691474901,13.013698630136988
2022-07-07 09:00:00,153.7705990336049,8.904109589041097
2022-07-07 10:00:00,243.1337323286184,14.383561643835618
2022-07-07 11:00:00,170.39496762193986,5.479452054794521
2022-07-07 12:00:00,193.68234478770157,-1.3698630136986298
2022-07-07 13:00:00,215.34153570118707,-2.054794520547944
2022-07-07 14:00:00,192.21041563352884,-2.73972602739726
2022-07-07 15:00:00,207.40111413810803,-6.164383561643835
2022-07-07 16:00:00,215.3639262730121,0.6849315068493157
2022-07-07 17:00:00,288.85602878055766,6.164383561643838
2022-07-07 18:00:00,328.209142064841,13.01369863013699
2022-07-07 19:00:00,455.6664836244684,32.19178082191781
2022-07-07 20:00:00,359.5459568035898,30.82191780821918
2022-07-07 21:00:00,624.0292602515674,68.4931506849315
2022-07-07 22:00:00,795.7861539628533,82.19178082191782
2022-07-07 23:00:00,743.3860492477113,78.76712328767124
2022-07-08 00:00:00,696.3955471909742,82.19178082191782
2022-07-08 01:00:00,521.6327717579541,61.64383561643835
2022-07-08 02:00:00,359.5325390652488,54.79452054794521
2022-07-08 03:00:00,360.4530827202049,68.4931506849315
2022-07-08 04:00:00,376.164153405002,65.06849315068493
2022-07-08 05:00:00,552.0365058031327,65.06849315068493
2022-07-08 06:00:00,370.8893938401949,61.64383561643836
