Device;Datetime;"Dew Point (C)";"H2S GCC (ppb)";"Humidity ext (%)";"NO2 GCc (ppb)";"O3 GCc (ppb)";"Pressure (hPa)";"TSP (ug/m3)";"Temp ext (C)";
"K-A3 GRECiOT 1";2022-04-27 02:07:27;11,08;18,54;66,18;42,15;0,00;1010,53;23,79;17,47;
"K-A3 GRECiOT 1";2022-04-27 02:02:25;11,16;20,29;65,84;42,98;0,00;1010,55;23,72;17,63;
"K-A3 GRECiOT 1";2022-04-27 01:57:27;11,36;23,01;66,03;44,00;0,00;1010,53;24,11;17,80;
"K-A3 GRECiOT 1";2022-04-27 01:52:26;11,42;24,83;66,01;43,27;0,00;1010,59;23,97;17,86;
"K-A3 GRECiOT 1";2022-04-27 01:47:25;11,44;25,14;65,60;42,60;0,00;1010,58;24,78;17,98;
"K-A3 GRECiOT 1";2022-04-27 01:42:27;11,58;26,17;65,57;43,14;0,00;1010,55;26,30;18,13;
"K-A3 GRECiOT 1";2022-04-27 01:37:24;11,57;29,77;65,20;43,69;0,00;1010,52;19,10;18,22;
"K-A3 GRECiOT 1";2022-04-27 01:32:27;11,56;25,76;64,74;45,53;0,00;1010,48;24,16;18,32;
"K-A3 GRECiOT 1";2022-04-27 01:27:26;11,43;17,39;64,16;38,89;0,00;1010,52;20,72;18,32;
"K-A3 GRECiOT 1";2022-04-27 01:22:25;11,57;15,34;64,44;35,22;0,00;1010,49;31,59;18,40;
"K-A3 GRECiOT 1";2022-04-27 01:17:26;11,82;17,55;65,27;38,45;0,00;1010,51;22,35;18,46;
"K-A3 GRECiOT 1";2022-04-27 01:12:25;12,08;16,95;66,35;38,37;0,00;1010,54;27,50;18,47;
"K-A3 GRECiOT 1";2022-04-27 01:07:27;12,15;21,53;66,49;41,81;0,00;1010,53;25,69;18,52;
"K-A3 GRECiOT 1";2022-04-27 01:02:25;11,99;24,02;65,48;42,71;0,00;1010,49;29,43;18,59;
"K-A3 GRECiOT 1";2022-04-27 00:57:28;12,04;29,69;65,60;42,23;0,00;1010,37;24,19;18,62;
"K-A3 GRECiOT 1";2022-04-27 00:52:26;12,03;35,58;65,45;44,94;0,00;1010,35;29,16;18,64;
"K-A3 GRECiOT 1";2022-04-27 00:47:24;11,39;29,57;62,57;51,21;0,00;1010,36;22,97;18,68;
"K-A3 GRECiOT 1";2022-04-27 00:42:26;11,08;27,47;61,13;51,06;0,00;1010,29;17,61;18,73;
"K-A3 GRECiOT 1";2022-04-27 00:37:25;11,17;29,68;61,16;50,28;0,00;1010,23;23,63;18,81;
"K-A3 GRECiOT 1";2022-04-27 00:32:28;11,27;29,61;61,42;50,01;0,00;1010,21;17,29;18,86;
"K-A3 GRECiOT 1";2022-04-27 00:27:26;11,26;30,90;61,14;52,54;0,00;1010,11;18,68;18,91;
"K-A3 GRECiOT 1";2022-04-27 00:22:25;11,31;34,09;61,25;53,56;0,00;1010,12;20,37;18,94;
"K-A3 GRECiOT 1";2022-04-27 00:17:27;11,33;32,32;61,12;53,37;0,00;1010,13;18,17;19,00;
"K-A3 GRECiOT 1";2022-04-27 00:12:25;11,24;24,32;60,78;52,93;0,00;1010,06;15,96;18,98;
"K-A3 GRECiOT 1";2022-04-27 00:07:27;11,38;25,94;61,13;52,04;0,00;1010,04;19,26;19,04;
"K-A3 GRECiOT 1";2022-04-27 00:02:26;11,41;28,39;61,11;52,51;0,00;1010,02;20,69;19,08;
"K-A3 GRECiOT 1";2022-04-26 23:57:27;11,50;29,97;61,24;52,77;0,00;1010,01;20,99;19,14;
"K-A3 GRECiOT 1";2022-04-26 23:52:27;11,46;31,23;60,96;53,55;0,00;1010,00;19,81;19,18;
"K-A3 GRECiOT 1";2022-04-26 23:47:24;11,43;30,39;60,82;53,85;0,00;1010,00;18,83;19,18;
"K-A3 GRECiOT 1";2022-04-26 23:42:27;11,33;27,66;60,15;57,35;0,00;1009,91;24,50;19,25;
"K-A3 GRECiOT 1";2022-04-26 23:37:25;11,27;25,14;59,77;55,37;0,00;1009,93;18,40;19,29;
"K-A3 GRECiOT 1";2022-04-26 23:32:28;11,25;26,77;59,48;56,18;0,00;1009,92;23,83;19,35;
"K-A3 GRECiOT 1";2022-04-26 23:27:26;11,36;30,89;59,48;57,91;0,00;1009,88;22,06;19,46;
"K-A3 GRECiOT 1";2022-04-26 23:22:25;11,36;34,35;59,39;59,34;0,00;1009,83;18,32;19,49;
"K-A3 GRECiOT 1";2022-04-26 23:17:27;11,32;33,20;59,05;56,74;0,00;1009,85;21,24;19,53;
"K-A3 GRECiOT 1";2022-04-26 23:12:25;11,33;35,85;58,86;57,79;0,00;1009,84;26,90;19,61;
"K-A3 GRECiOT 1";2022-04-26 23:07:27;11,34;36,90;58,59;58,99;0,00;1009,74;27,66;19,69;
"K-A3 GRECiOT 1";2022-04-26 23:02:25;11,35;36,53;58,03;57,34;0,00;1009,76;28,44;19,86;
"K-A3 GRECiOT 1";2022-04-26 22:57:27;11,43;39,77;57,89;58,06;0,00;1009,66;26,90;19,97;
"K-A3 GRECiOT 1";2022-04-26 22:52:26;11,35;44,23;57,30;58,60;0,00;1009,62;29,12;20,06;
"K-A3 GRECiOT 1";2022-04-26 22:47:25;11,31;42,15;56,90;59,08;0,00;1009,60;27,46;20,13;
"K-A3 GRECiOT 1";2022-04-26 22:42:27;11,28;38,26;56,44;58,49;0,00;1009,59;28,52;20,23;
"K-A3 GRECiOT 1";2022-04-26 22:37:26;11,24;36,89;55,96;59,55;0,00;1009,56;33,55;20,32;
"K-A3 GRECiOT 1";2022-04-26 22:32:27;11,27;39,75;55,41;59,62;0,00;1009,55;30,07;20,51;
"K-A3 GRECiOT 1";2022-04-26 22:27:27;11,39;42,40;55,32;61,47;0,00;1009,45;27,70;20,67;
"K-A3 GRECiOT 1";2022-04-26 22:22:24;11,31;44,18;54,90;61,91;0,00;1009,51;23,17;20,71;
"K-A3 GRECiOT 1";2022-04-26 22:17:26;11,47;49,01;54,73;62,29;0,00;1009,45;33,31;20,93;
"K-A3 GRECiOT 1";2022-04-26 22:12:24;11,43;49,52;53,97;62,10;0,00;1009,40;;21,12;
"K-A3 GRECiOT 1";2022-04-26 22:07:27;11,42;48,34;53,63;61,98;0,00;1009,26;27,00;21,20;
"K-A3 GRECiOT 1";2022-04-26 22:02:24;11,46;50,57;53,55;61,67;0,00;1009,31;30,86;21,27;
"K-A3 GRECiOT 1";2022-04-26 21:57:27;11,47;59,39;53,22;63,24;0,00;1009,28;34,90;21,39;
"K-A3 GRECiOT 1";2022-04-26 21:52:26;11,44;59,83;52,46;63,86;0,00;1009,24;32,13;21,58;
"K-A3 GRECiOT 1";2022-04-26 21:47:25;11,39;56,74;52,07;62,96;0,00;1009,13;22,14;21,65;
"K-A3 GRECiOT 1";2022-04-26 21:42:26;11,36;50,13;51,65;63,15;0,00;1009,13;29,30;21,76;
"K-A3 GRECiOT 1";2022-04-26 21:37:25;11,39;50,34;51,37;63,08;0,00;1009,08;29,56;21,88;
"K-A3 GRECiOT 1";2022-04-26 21:32:28;11,34;50,52;50,54;65,09;0,00;1009,05;27,71;22,09;
"K-A3 GRECiOT 1";2022-04-26 21:27:27;11,34;44,70;50,00;62,56;0,00;1009,00;26,25;22,27;
"K-A3 GRECiOT 1";2022-04-26 21:22:25;11,12;47,31;48,94;62,15;0,00;1008,94;33,89;22,38;
"K-A3 GRECiOT 1";2022-04-26 21:17:27;11,07;36,41;48,78;54,07;0,00;1008,91;25,57;22,38;
"K-A3 GRECiOT 1";2022-04-26 21:12:25;11,05;37,79;48,47;55,05;0,00;1008,87;34,56;22,46;
"K-A3 GRECiOT 1";2022-04-26 21:07:27;11,07;36,27;47,78;51,66;0,00;1008,85;32,59;22,71;
"K-A3 GRECiOT 1";2022-04-26 21:02:24;10,98;35,95;46,98;48,47;1,45;1008,78;40,28;22,90;
"K-A3 GRECiOT 1";2022-04-26 20:57:28;10,91;36,76;46,31;46,89;5,86;1008,72;30,10;23,06;
"K-A3 GRECiOT 1";2022-04-26 20:52:26;10,81;34,64;45,56;39,81;21,10;1008,62;32,85;23,22;
"K-A3 GRECiOT 1";2022-04-26 20:47:25;10,79;34,06;44,96;33,94;26,25;1008,58;29,23;23,42;
"K-A3 GRECiOT 1";2022-04-26 20:42:27;10,75;32,98;44,41;30,85;30,40;1008,56;29,46;23,58;
"K-A3 GRECiOT 1";2022-04-26 20:37:25;10,73;32,99;43,86;31,71;29,42;1008,48;30,95;23,76;
"K-A3 GRECiOT 1";2022-04-26 20:32:28;10,75;33,75;43,39;28,33;34,50;1008,38;40,70;23,96;
"K-A3 GRECiOT 1";2022-04-26 20:27:27;10,70;33,49;42,53;31,43;29,13;1008,29;39,98;24,24;
"K-A3 GRECiOT 1";2022-04-26 20:22:25;10,39;35,59;41,27;35,72;23,33;1008,20;40,83;24,40;
"K-A3 GRECiOT 1";2022-04-26 20:17:27;10,26;33,07;40,61;31,67;27,16;1008,09;35,06;24,53;
"K-A3 GRECiOT 1";2022-04-26 20:12:25;10,19;33,36;40,21;26,70;33,07;1007,99;43,07;24,61;
"K-A3 GRECiOT 1";2022-04-26 20:07:27;11,29;31,72;42,84;30,48;28,46;1007,94;49,61;24,78;
"K-A3 GRECiOT 1";2022-04-26 20:02:25;11,57;42,66;42,78;30,10;35,48;1007,96;40,25;25,11;
"K-A3 GRECiOT 1";2022-04-26 19:57:28;10,03;38,26;37,45;32,60;31,19;1007,91;34,45;25,63;
"K-A3 GRECiOT 1";2022-04-26 19:52:27;10,06;29,75;36,83;24,84;34,58;1007,82;38,14;25,94;
"K-A3 GRECiOT 1";2022-04-26 19:47:25;10,10;29,28;36,77;27,95;28,12;1007,74;46,03;26,01;
"K-A3 GRECiOT 1";2022-04-26 19:42:27;9,97;30,54;36,22;29,11;28,10;1007,63;36,89;26,13;
"K-A3 GRECiOT 1";2022-04-26 19:37:25;9,90;28,26;35,30;27,08;31,89;1007,63;37,84;26,48;
"K-A3 GRECiOT 1";2022-04-26 19:32:28;9,90;28,42;34,93;24,98;33,07;1007,60;50,59;26,66;
"K-A3 GRECiOT 1";2022-04-26 19:27:27;10,05;29,84;34,72;22,48;38,00;1007,60;34,74;26,93;
"K-A3 GRECiOT 1";2022-04-26 19:22:25;9,90;28,95;34,29;22,65;37,52;1007,56;42,25;26,97;
"K-A3 GRECiOT 1";2022-04-26 19:17:27;9,77;28,26;33,78;20,65;41,93;1007,57;42,37;27,09;
"K-A3 GRECiOT 1";2022-04-26 19:12:24;9,75;23,33;33,09;16,98;45,19;1007,55;41,64;27,41;
"K-A3 GRECiOT 1";2022-04-26 19:07:26;9,69;26,80;33,03;19,30;41,97;1007,48;40,60;27,37;
"K-A3 GRECiOT 1";2022-04-26 19:02:24;9,42;24,65;32,18;16,70;46,67;1007,54;37,81;27,51;
"K-A3 GRECiOT 1";2022-04-26 18:57:28;9,81;25,12;32,57;15,99;44,94;1007,54;39,74;27,75;
"K-A3 GRECiOT 1";2022-04-26 18:52:27;9,74;23,60;32,18;13,26;49,81;1007,43;43,36;27,88;
"K-A3 GRECiOT 1";2022-04-26 18:47:25;10,01;26,36;32,61;17,15;45,37;1007,42;50,27;27,96;
"K-A3 GRECiOT 1";2022-04-26 18:42:27;10,15;26,24;32,04;14,75;50,20;1007,40;36,99;28,42;
"K-A3 GRECiOT 1";2022-04-26 18:37:24;9,92;28,05;31,60;19,57;43,46;1007,37;45,63;28,39;
"K-A3 GRECiOT 1";2022-04-26 18:32:28;9,96;29,42;31,76;19,82;43,74;1007,45;30,69;28,35;
"K-A3 GRECiOT 1";2022-04-26 18:27:26;9,78;28,00;31,03;17,13;49,02;1007,48;40,02;28,55;
"K-A3 GRECiOT 1";2022-04-26 18:22:24;9,43;27,31;30,15;14,61;52,64;1007,54;28,24;28,64;
"K-A3 GRECiOT 1";2022-04-26 18:17:27;9,29;26,55;29,56;14,86;50,67;1007,56;37,22;28,81;
"K-A3 GRECiOT 1";2022-04-26 18:12:25;9,32;24,65;29,73;17,01;46,22;1007,55;36,72;28,76;
"K-A3 GRECiOT 1";2022-04-26 18:07:27;9,31;22,79;29,49;11,05;54,69;1007,54;35,61;28,89;
"K-A3 GRECiOT 1";2022-04-26 18:02:25;10,10;27,82;30,97;16,29;47,76;1007,56;28,82;28,95;
"K-A3 GRECiOT 1";2022-04-26 17:57:28;10,06;30,03;30,96;17,37;47,83;1007,60;45,85;28,91;
"K-A3 GRECiOT 1";2022-04-26 17:52:27;9,33;31,41;29,35;16,62;51,15;1007,65;36,98;28,98;
"K-A3 GRECiOT 1";2022-04-26 17:47:25;8,67;27,50;27,93;15,22;50,54;1007,71;31,00;29,08;
"K-A3 GRECiOT 1";2022-04-26 17:42:27;9,01;25,82;28,43;15,71;50,27;1007,68;35,30;29,17;
"K-A3 GRECiOT 1";2022-04-26 17:37:25;9,44;30,53;29,43;19,44;46,00;1007,70;29,36;29,07;
"K-A3 GRECiOT 1";2022-04-26 17:32:28;9,21;30,23;29,06;17,00;48,53;1007,73;35,08;29,03;
"K-A3 GRECiOT 1";2022-04-26 17:27:27;9,15;24,08;28,79;13,05;52,49;1007,72;26,40;29,11;
"K-A3 GRECiOT 1";2022-04-26 17:22:25;9,32;29,99;29,29;17,00;48,97;1007,71;30,54;29,01;
"K-A3 GRECiOT 1";2022-04-26 17:17:27;8,98;29,88;28,09;15,78;52,80;1007,74;26,61;29,34;
"K-A3 GRECiOT 1";2022-04-26 17:12:25;9,20;25,02;28,61;16,02;48,51;1007,63;35,24;29,28;
"K-A3 GRECiOT 1";2022-04-26 17:07:27;9,03;25,63;27,91;16,16;51,87;1007,65;30,43;29,51;
"K-A3 GRECiOT 1";2022-04-26 17:02:25;9,52;28,05;29,29;18,24;48,82;1007,56;23,25;29,25;
"K-A3 GRECiOT 1";2022-04-26 16:57:28;9,18;30,36;28,36;16,73;53,68;1007,65;25,18;29,41;
"K-A3 GRECiOT 1";2022-04-26 16:52:27;8,81;29,88;27,54;16,38;52,69;1007,64;26,45;29,48;
"K-A3 GRECiOT 1";2022-04-26 16:47:25;8,32;26,31;26,24;15,31;51,35;1007,56;37,65;29,75;
"K-A3 GRECiOT 1";2022-04-26 16:42:27;7,86;22,68;25,46;13,86;52,28;1007,62;25,14;29,73;
"K-A3 GRECiOT 1";2022-04-26 16:37:25;7,54;21,88;25,19;11,91;52,51;1007,58;19,78;29,54;
"K-A3 GRECiOT 1";2022-04-26 16:32:28;7,40;18,01;24,69;9,25;54,90;1007,60;17,41;29,72;
"K-A3 GRECiOT 1";2022-04-26 16:27:27;6,62;21,40;23,29;12,83;50,66;1007,64;22,25;29,80;
"K-A3 GRECiOT 1";2022-04-26 16:22:25;6,26;16,17;22,50;8,29;53,71;1007,65;14,23;29,97;
"K-A3 GRECiOT 1";2022-04-26 16:17:27;5,83;11,51;21,73;4,28;57,83;1007,72;21,00;30,06;
"K-A3 GRECiOT 1";2022-04-26 16:12:25;5,80;7,60;21,32;0,04;62,65;1007,73;;30,35;
"K-A3 GRECiOT 1";2022-04-26 16:07:27;6,08;7,96;21,75;3,56;60,42;1007,73;18,78;30,35;
"K-A3 GRECiOT 1";2022-04-26 16:02:25;6,65;10,56;22,33;3,24;63,04;1007,82;12,84;30,58;
"K-A3 GRECiOT 1";2022-04-26 15:57:28;6,37;13,83;22,06;6,16;60,81;1007,82;14,79;30,45;
"K-A3 GRECiOT 1";2022-04-26 15:52:27;5,33;7,36;20,49;0,93;63,29;1007,85;15,16;30,48;
"K-A3 GRECiOT 1";2022-04-26 15:47:25;4,74;5,60;19,77;0,36;62,81;1007,84;17,63;30,40;
"K-A3 GRECiOT 1";2022-04-26 15:42:27;5,57;2,28;20,87;0,00;60,59;1007,86;18,72;30,45;
"K-A3 GRECiOT 1";2022-04-26 15:37:25;5,54;6,95;21,32;0,48;60,15;1007,83;13,00;30,04;
"K-A3 GRECiOT 1";2022-04-26 15:32:28;5,44;3,17;20,60;0,00;60,45;1007,89;25,38;30,53;
"K-A3 GRECiOT 1";2022-04-26 15:27:27;5,53;4,82;20,46;0,00;58,43;1007,96;18,52;30,75;
"K-A3 GRECiOT 1";2022-04-26 15:22:25;6,12;1,52;20,96;0,00;56,22;1008,05;22,22;31,05;
"K-A3 GRECiOT 1";2022-04-26 15:17:27;6,33;4,74;21,15;0,00;56,54;1008,13;30,28;31,13;
"K-A3 GRECiOT 1";2022-04-26 15:12:25;6,41;0,72;20,88;0,00;56,85;1008,14;17,29;31,46;
"K-A3 GRECiOT 1";2022-04-26 15:07:27;5,84;8,06;20,64;0,86;56,81;1008,23;19,48;30,98;
"K-A3 GRECiOT 1";2022-04-26 15:02:25;5,34;0,00;20,10;0,00;52,13;1008,29;10,26;30,84;
"K-A3 GRECiOT 1";2022-04-26 14:57:28;6,26;0,00;21,41;0,00;52,81;1008,33;14,45;30,84;
"K-A3 GRECiOT 1";2022-04-26 14:52:27;6,77;3,23;22,64;0,00;58,15;1008,42;9,39;30,48;
"K-A3 GRECiOT 1";2022-04-26 14:47:25;5,88;2,36;21,62;0,75;58,61;1008,51;9,56;30,22;
"K-A3 GRECiOT 1";2022-04-26 14:42:27;5,49;2,32;21,39;0,00;56,15;1008,52;15,71;29,93;
"K-A3 GRECiOT 1";2022-04-26 14:37:25;5,80;0,00;21,38;0,00;52,22;1008,53;12,40;30,31;
"K-A3 GRECiOT 1";2022-04-26 14:32:28;5,88;0,00;21,65;0,00;49,35;1008,59;19,11;30,19;
"K-A3 GRECiOT 1";2022-04-26 14:27:27;5,92;0,00;21,75;0,00;53,86;1008,56;14,83;30,16;
"K-A3 GRECiOT 1";2022-04-26 14:22:25;6,12;0,00;22,23;0,00;52,64;1008,55;11,84;30,02;
"K-A3 GRECiOT 1";2022-04-26 14:17:27;5,60;5,50;21,92;1,52;52,43;1008,62;17,99;29,63;
"K-A3 GRECiOT 1";2022-04-26 14:12:25;6,44;0,00;23,03;0,00;52,79;1008,67;16,47;29,79;
"K-A3 GRECiOT 1";2022-04-26 14:07:27;6,75;3,50;23,73;0,00;54,31;1008,63;18,06;29,63;
"K-A3 GRECiOT 1";2022-04-26 14:02:24;7,33;2,95;24,79;0,54;53,29;1008,62;18,66;29,56;
"K-A3 GRECiOT 1";2022-04-26 13:57:28;7,55;8,71;25,20;0,00;56,10;1008,68;19,45;29,54;
"K-A3 GRECiOT 1";2022-04-26 13:52:27;7,48;4,11;24,70;2,96;49,57;1008,68;19,02;29,80;
"K-A3 GRECiOT 1";2022-04-26 13:47:25;7,61;10,88;25,38;6,44;44,44;1008,68;17,52;29,48;
"K-A3 GRECiOT 1";2022-04-26 13:42:27;7,34;12,78;25,05;2,20;50,73;1008,67;17,44;29,39;
"K-A3 GRECiOT 1";2022-04-26 13:37:24;8,12;0,00;25,38;0,00;47,22;1008,67;16,47;30,09;
"K-A3 GRECiOT 1";2022-04-26 13:32:28;8,62;2,71;26,68;7,33;41,27;1008,69;15,28;29,80;
"K-A3 GRECiOT 1";2022-04-26 13:27:27;8,49;9,89;27,22;11,15;38,02;1008,69;17,57;29,31;
"K-A3 GRECiOT 1";2022-04-26 13:22:24;8,42;9,68;27,72;11,19;38,90;1008,73;11,68;28,91;
"K-A3 GRECiOT 1";2022-04-26 13:17:27;8,24;9,95;28,56;12,19;40,92;1008,71;13,63;28,19;
"K-A3 GRECiOT 1";2022-04-26 13:12:25;7,88;7,17;27,69;6,32;46,25;1008,66;21,00;28,30;
"K-A3 GRECiOT 1";2022-04-26 13:07:27;8,31;13,57;27,72;4,16;48,09;1008,70;24,07;28,78;
"K-A3 GRECiOT 1";2022-04-26 13:02:25;8,25;12,54;27,20;4,55;44,31;1008,73;22,62;29,04;
"K-A3 GRECiOT 1";2022-04-26 12:57:28;7,86;14,53;26,82;8,00;39,10;1008,69;24,24;28,83;
"K-A3 GRECiOT 1";2022-04-26 12:52:27;7,87;9,05;26,34;0,00;44,92;1008,70;24,00;29,15;
"K-A3 GRECiOT 1";2022-04-26 12:47:25;8,28;8,81;26,73;3,45;40,10;1008,74;20,43;29,38;
"K-A3 GRECiOT 1";2022-04-26 12:42:27;8,48;5,22;27,08;2,61;40,73;1008,77;17,40;29,39;
"K-A3 GRECiOT 1";2022-04-26 12:37:24;8,21;15,50;27,02;0,00;44,55;1008,82;17,69;29,11;
"K-A3 GRECiOT 1";2022-04-26 12:32:28;8,30;0,61;26,41;0,00;40,59;1008,82;16,15;29,61;
"K-A3 GRECiOT 1";2022-04-26 12:27:27;8,13;5,54;26,09;0,00;40,21;1008,92;19,50;29,62;
"K-A3 GRECiOT 1";2022-04-26 12:22:25;8,13;1,41;26,21;0,00;38,11;1008,91;18,80;29,54;
"K-A3 GRECiOT 1";2022-04-26 12:17:27;8,23;1,47;26,75;0,00;37,59;1008,94;15,83;29,31;
"K-A3 GRECiOT 1";2022-04-26 12:12:25;7,89;4,70;27,21;1,09;39,27;1008,92;12,40;28,62;
"K-A3 GRECiOT 1";2022-04-26 12:07:27;7,49;0,85;26,92;0,00;41,00;1008,91;13,35;28,33;
"K-A3 GRECiOT 1";2022-04-26 12:02:25;7,47;0,00;26,60;0,00;37,68;1009,01;14,86;28,52;
"K-A3 GRECiOT 1";2022-04-26 11:57:28;7,74;0,00;27,44;0,00;36,43;1008,91;13,64;28,29;
"K-A3 GRECiOT 1";2022-04-26 11:52:27;7,57;0,00;26,75;0,00;36,19;1009,05;13,11;28,53;
"K-A3 GRECiOT 1";2022-04-26 11:47:25;7,62;0,00;27,04;0,00;33,16;1008,93;15,24;28,40;
"K-A3 GRECiOT 1";2022-04-26 11:42:27;7,65;0,00;27,00;0,00;31,55;1009,09;14,97;28,46;
"K-A3 GRECiOT 1";2022-04-26 11:37:25;7,84;0,00;27,48;0,00;29,72;1009,02;14,58;28,39;
"K-A3 GRECiOT 1";2022-04-26 11:32:28;7,69;0,00;27,24;0,00;29,23;1009,17;13,67;28,36;
"K-A3 GRECiOT 1";2022-04-26 11:27:27;7,51;0,00;27,21;0,00;29,28;1009,17;20,29;28,18;
"K-A3 GRECiOT 1";2022-04-26 11:22:25;7,52;0,00;27,51;0,00;28,46;1009,17;15,92;27,99;
"K-A3 GRECiOT 1";2022-04-26 11:17:27;7,33;0,00;27,42;0,00;28,76;1009,20;10,58;27,83;
"K-A3 GRECiOT 1";2022-04-26 11:12:25;7,46;0,00;27,92;0,00;28,03;1009,22;11,31;27,67;
"K-A3 GRECiOT 1";2022-04-26 11:07:27;7,09;0,00;27,53;0,00;27,33;1009,23;10,39;27,48;
"K-A3 GRECiOT 1";2022-04-26 11:02:24;7,18;0,00;27,98;0,00;25,79;1009,24;8,75;27,30;
"K-A3 GRECiOT 1";2022-04-26 10:57:28;6,98;0,00;27,84;0,00;26,56;1009,24;8,16;27,16;
"K-A3 GRECiOT 1";2022-04-26 10:52:27;7,06;0,00;28,51;0,00;25,41;1009,27;9,49;26,85;
"K-A3 GRECiOT 1";2022-04-26 10:47:25;6,57;0,00;28,00;0,00;26,85;1009,29;12,65;26,58;
"K-A3 GRECiOT 1";2022-04-26 10:42:27;6,34;0,00;28,13;0,00;26,35;1009,30;10,31;26,24;
"K-A3 GRECiOT 1";2022-04-26 10:37:25;6,14;0,00;28,54;0,00;27,24;1009,29;12,77;25,76;
"K-A3 GRECiOT 1";2022-04-26 10:32:28;6,06;0,00;28,67;0,00;25,72;1009,33;10,90;25,59;
"K-A3 GRECiOT 1";2022-04-26 10:27:27;5,80;0,00;28,85;0,00;25,24;1009,32;6,64;25,18;
"K-A3 GRECiOT 1";2022-04-26 10:22:25;5,68;0,00;28,91;0,00;25,69;1009,30;8,72;25,01;
"K-A3 GRECiOT 1";2022-04-26 10:17:27;5,79;0,00;29,75;0,00;25,52;1009,28;16,99;24,66;
"K-A3 GRECiOT 1";2022-04-26 10:12:25;5,58;0,00;30,03;0,00;25,35;1009,34;;24,26;
"K-A3 GRECiOT 1";2022-04-26 10:07:26;5,57;0,00;30,53;0,00;26,02;1009,39;10,06;23,96;
"K-A3 GRECiOT 1";2022-04-26 10:02:25;5,77;0,00;31,50;0,00;26,50;1009,40;13,20;23,68;
"K-A3 GRECiOT 1";2022-04-26 09:57:27;5,49;0,00;31,36;0,00;26,74;1009,39;9,30;23,42;
"K-A3 GRECiOT 1";2022-04-26 09:52:26;5,41;0,00;31,46;0,00;25,95;1009,37;10,21;23,28;
"K-A3 GRECiOT 1";2022-04-26 09:47:24;5,61;0,00;32,59;0,00;25,28;1009,33;13,19;22,93;
"K-A3 GRECiOT 1";2022-04-26 09:42:26;5,55;0,00;33,16;0,00;25,30;1009,36;10,77;22,58;
"K-A3 GRECiOT 1";2022-04-26 09:37:25;5,43;0,00;33,57;0,00;26,49;1009,38;9,22;22,23;
"K-A3 GRECiOT 1";2022-04-26 09:32:27;5,26;0,00;34,05;0,00;27,11;1009,39;9,38;21,81;
"K-A3 GRECiOT 1";2022-04-26 09:27:26;5,34;0,00;35,18;0,00;26,55;1009,33;11,91;21,37;
"K-A3 GRECiOT 1";2022-04-26 09:22:25;5,28;0,00;36,20;0,00;28,37;1009,40;16,16;20,83;
"K-A3 GRECiOT 1";2022-04-26 09:17:27;5,42;0,00;37,74;0,00;28,59;1009,46;13,60;20,31;
"K-A3 GRECiOT 1";2022-04-26 09:12:25;5,11;0,00;38,32;0,00;31,20;1009,50;7,08;19,72;
"K-A3 GRECiOT 1";2022-04-26 09:07:27;4,98;0,00;39,25;0,00;30,38;1009,43;11,76;19,19;
"K-A3 GRECiOT 1";2022-04-26 09:02:26;4,88;0,00;39,85;0,00;29,94;1009,51;11,08;18,83;
"K-A3 GRECiOT 1";2022-04-26 08:57:28;5,00;0,00;41,33;0,00;30,58;1009,46;11,68;18,39;
"K-A3 GRECiOT 1";2022-04-26 08:52:27;5,04;0,00;42,20;0,00;31,89;1009,38;6,44;18,09;
"K-A3 GRECiOT 1";2022-04-26 08:47:25;5,05;0,00;43,47;0,00;32,92;1009,30;8,72;17,64;
"K-A3 GRECiOT 1";2022-04-26 08:42:27;6,10;0,00;48,60;0,80;30,85;1009,38;10,83;17,02;
"K-A3 GRECiOT 1";2022-04-26 08:37:25;7,63;0,00;55,18;26,40;1,87;1009,33;23,05;16,68;
"K-A3 GRECiOT 1";2022-04-26 08:32:28;7,40;0,00;54,93;34,92;0,00;1009,36;25,82;16,50;
"K-A3 GRECiOT 1";2022-04-26 08:27:27;7,70;0,00;56,77;32,74;0,00;1009,31;29,29;16,29;
"K-A3 GRECiOT 1";2022-04-26 08:22:25;7,73;0,00;57,64;34,08;0,00;1009,31;23,59;16,10;
"K-A3 GRECiOT 1";2022-04-26 08:17:28;7,86;0,00;58,67;33,53;0,00;1009,30;23,44;15,96;
"K-A3 GRECiOT 1";2022-04-26 08:12:24;7,99;0,00;59,54;31,76;0,00;1009,29;17,21;15,86;
"K-A3 GRECiOT 1";2022-04-26 08:07:26;7,89;0,00;59,64;34,31;0,00;1009,26;19,31;15,73;
"K-A3 GRECiOT 1";2022-04-26 08:02:25;7,80;2,57;59,82;38,53;0,00;1009,27;25,96;15,59;
"K-A3 GRECiOT 1";2022-04-26 07:57:29;7,58;0,00;59,39;37,47;0,00;1009,29;17,34;15,46;
"K-A3 GRECiOT 1";2022-04-26 07:52:26;7,53;0,00;59,72;36,70;0,00;1009,16;25,26;15,32;
"K-A3 GRECiOT 1";2022-04-26 07:47:25;8,02;0,00;62,40;34,11;0,00;1009,13;23,45;15,17;
"K-A3 GRECiOT 1";2022-04-26 07:42:28;8,54;0,00;64,96;34,31;0,00;1009,10;19,81;15,08;
"K-A3 GRECiOT 1";2022-04-26 07:37:25;9,06;6,24;67,86;36,98;0,00;1009,08;15,99;14,95;
"K-A3 GRECiOT 1";2022-04-26 07:32:28;9,24;18,11;68,98;39,19;0,00;1009,10;23,99;14,88;
